
A	1	103	4.198337344725	4.264799536587749	[48, 72, 89]	[48, 71, 72]
A	2	12	4.998751001087999	5.011193427023999	[9, 4, 6]	[9, 11, 4]
A	3	238	4.063884456175001	4.3917294104549995	[189, 208, 205]	[39, 117, 189]
A	4	1	10.08983	10.08983	[0]	[0]
A	5	5	4.85844841634382	5.01085441953516	[1, 2, 4]	[0, 1, 2]
A	6	9	4.9478990986176	5.244828471800799	[3, 1, 2]	[6, 3, 1]
A	7	53	4.6407227952696	4.779947834810399	[46, 22, 18]	[46, 2, 22]
A	8	1	9.681016	9.681016	[0]	[0]
A	9	109	4.08676784495045	4.366781207116801	[94, 30, 25]	[60, 94, 45]
A	10	381	4.11847952288	4.5079504786502405	[266, 189, 39]	[31, 60, 77]
A	11	11	4.3123419597113	4.39230557995985	[4, 7, 0]	[4, 7, 2]
A	12	65	4.22988799365996	4.642641333569821	[33, 23, 14]	[15, 33, 19]
A	13	135	4.4102475295	4.62623814442796	[122, 68, 111]	[69, 97, 54]
A	14	4	4.7923139095	4.865985782799999	[2, 0, 3]	[2, 0, 1]
A	15	289	4.01634045	4.72920373344	[76, 48, 110]	[3, 7, 76]
A	16	5	4.4433066728999995	4.5007738970707205	[4, 3, 1]	[4, 2, 3]
A	17	343	4.05728264374	4.14265902502384	[82, 188, 186]	[82, 109, 131]
A	18	60	4.5290218828	4.70989468457296	[47, 14, 7]	[47, 32, 37]
A	19	1	10.265772	10.265772	[0]	[0]
A	20	1	9.75876	9.75876	[0]	[0]
A	21	59	4.184663721733299	4.480918899643	[49, 6, 11]	[52, 24, 49]
A	22	9	4.941439927875	5.174471015959321	[7, 8, 3]	[7, 8, 6]
A	23	98	4.49644934204104	4.942080986272	[84, 79, 12]	[55, 0, 3]
A	24	121	4.18345979834	4.40812857312416	[59, 70, 106]	[59, 117, 3]
A	25	2	6.227475744	6.227475744	[0, 1]	[0, 1]
A	26	275	4.17250012017	4.41519292404832	[209, 98, 67]	[118, 161, 213]
A	27	9	5.003707517712001	5.0478275729328015	[1, 8, 7]	[1, 8, 6]
A	28	7	5.2853227488	5.369063550127039	[1, 5, 0]	[1, 5, 3]
A	29	384	4.178447020789999	4.3616506341534	[278, 301, 40]	[39, 106, 137]
A	30	5	4.7898076013146405	4.83505244809268	[0, 1, 4]	[0, 1, 3]
A	31	56	4.71896824228	4.8788590930783196	[51, 54, 38]	[43, 51, 32]
A	32	5	4.7527970672093005	4.7527970672093	[1, 0, 2]	[1, 0, 2]
A	33	3	6.274142257	6.274142257	[2, 1, 0]	[2, 1, 0]
A	34	1	10.926525999999999	10.926525999999999	[0]	[0]
A	35	12	4.552555085000001	4.5878824628	[7, 3, 9]	[7, 3, 10]
A	36	17	4.662071880987801	5.005797512473761	[1, 15, 10]	[1, 2, 9]
A	37	8	5.6254895111886	5.6946903288468	[6, 5, 2]	[6, 3, 5]
A	38	51	4.285990826534079	4.389337345599039	[41, 46, 48]	[41, 6, 7]
A	39	14	4.4636651002752	4.467247847930401	[3, 1, 7]	[3, 11, 1]
A	40	317	4.08378754624128	4.47073437470612	[262, 106, 82]	[12, 88, 102]
A	41	245	4.046056904059999	4.0861572695964	[95, 78, 88]	[78, 95, 133]
A	42	16	4.8964134331038	4.9824999419727	[5, 1, 11]	[1, 5, 7]
A	43	116	4.299494462685	4.79667908364096	[112, 15, 97]	[23, 22, 112]
A	44	147	4.3361428478576	4.750531553076	[46, 78, 71]	[38, 84, 78]
